epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.761,1.10447,3.28034,1.48767,0.53868,0.32505,0.25305,0.18627,0.93256,1.74121,1.39462,0.00333067,0.00333067,0.00333067
2,770.488,1.01545,2.17421,1.35829,0.52685,0.37652,0.28075,0.20919,0.98174,1.74663,1.43815,0.00653205,0.00653205,0.00653205
3,1141.18,1.04599,1.93879,1.36573,0.50613,0.44411,0.36318,0.2605,1.0097,1.41571,1.45682,0.00960144,0.00960144,0.00960144
4,1510.9,1.0474,1.69059,1.36268,0.64547,0.35623,0.36035,0.25186,1.13379,1.59944,1.65189,0.009406,0.009406,0.009406
5,1881.07,0.98534,1.45059,1.3118,0.57817,0.54931,0.51021,0.40059,0.8561,1.05798,1.29145,0.009208,0.009208,0.009208
6,2249.63,0.94194,1.34408,1.28339,0.58685,0.49156,0.49002,0.38435,0.86608,1.05375,1.29608,0.00901,0.00901,0.00901
7,2619.37,0.91778,1.26404,1.26764,0.6183,0.58835,0.55644,0.45171,0.78441,0.9028,1.23221,0.008812,0.008812,0.008812
8,2988.78,0.89229,1.20745,1.25066,0.71612,0.56884,0.61934,0.49753,0.78947,0.81981,1.22778,0.008614,0.008614,0.008614
9,3358.22,0.87102,1.16353,1.23771,0.56,0.62973,0.61149,0.49678,0.76839,0.82417,1.20878,0.008416,0.008416,0.008416
10,3727.38,0.85598,1.12376,1.22352,0.57094,0.64722,0.62552,0.51017,0.76842,0.81168,1.21706,0.008218,0.008218,0.008218
11,4095.2,0.84758,1.09853,1.21732,0.66557,0.67503,0.67923,0.55602,0.75256,0.76844,1.19819,0.00802,0.00802,0.00802
12,4463,0.83419,1.06966,1.21162,0.69183,0.65298,0.68359,0.56249,0.74082,0.7345,1.18382,0.007822,0.007822,0.007822
13,4831.46,0.824,1.04981,1.20331,0.63097,0.69559,0.6936,0.56679,0.74801,0.73982,1.18957,0.007624,0.007624,0.007624
14,5199.36,0.81035,1.02062,1.19566,0.75413,0.6266,0.69804,0.57661,0.7341,0.70953,1.17807,0.007426,0.007426,0.007426
15,5567.41,0.80648,1.00274,1.19046,0.73766,0.64016,0.71937,0.58896,0.76506,0.69975,1.19871,0.007228,0.007228,0.007228
