epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,467.698,0.64709,0.63806,1.09223,0.52569,0.61933,0.58952,0.48755,0.74667,1.10131,1.2053,0.000349331,0.000349331,0.000349331
43,478.445,0.63743,0.63726,1.08385,0.50509,0.66688,0.62791,0.50852,0.73229,1.02899,1.17502,0.00034351,0.00034351,0.00034351
44,489.336,0.63543,0.66202,1.08588,0.66155,0.50267,0.60149,0.49416,0.79245,1.19833,1.24898,0.000337688,0.000337688,0.000337688
45,500.269,0.61289,0.59704,1.07317,0.48404,0.57562,0.5435,0.45252,0.72541,1.29693,1.18689,0.000331867,0.000331867,0.000331867
46,511.39,0.60702,0.59078,1.07766,0.54253,0.55058,0.59179,0.49055,0.72433,1.24997,1.19076,0.000326046,0.000326046,0.000326046
47,522.316,0.59501,0.58033,1.06032,0.47484,0.64154,0.57038,0.46972,0.71963,1.16939,1.17922,0.000320225,0.000320225,0.000320225
48,533.175,0.61687,0.60112,1.07963,0.53883,0.52823,0.56768,0.45967,0.76118,1.21151,1.20831,0.000314404,0.000314404,0.000314404
49,543.976,0.60813,0.59869,1.07065,0.624,0.55984,0.65815,0.53968,0.74527,1.03325,1.18363,0.000308582,0.000308582,0.000308582
50,554.926,0.62239,0.58403,1.08155,0.60336,0.56485,0.60623,0.484,0.72452,1.17612,1.19472,0.000302761,0.000302761,0.000302761
51,565.95,0.59307,0.57197,1.06345,0.50608,0.56479,0.58871,0.47849,0.76294,1.27788,1.20584,0.00029694,0.00029694,0.00029694
52,576.901,0.60824,0.58698,1.06834,0.60765,0.65936,0.63719,0.51875,0.71235,1.0805,1.15501,0.000291119,0.000291119,0.000291119
53,587.701,0.59359,0.56287,1.05456,0.5124,0.5705,0.53607,0.43068,0.75561,1.26526,1.20719,0.000285298,0.000285298,0.000285298
54,598.552,0.58615,0.53394,1.04946,0.55113,0.58448,0.58479,0.48349,0.72691,1.22662,1.16861,0.000279476,0.000279476,0.000279476
55,609.361,0.5908,0.55234,1.05581,0.53925,0.62521,0.61744,0.50141,0.75409,1.14925,1.19347,0.000273655,0.000273655,0.000273655
56,620.268,0.58389,0.51457,1.06447,0.53963,0.61883,0.57462,0.47652,0.73269,1.29286,1.17789,0.000267834,0.000267834,0.000267834
57,631.22,0.58453,0.53272,1.05471,0.52117,0.6438,0.60807,0.5034,0.7236,1.11097,1.17781,0.000262013,0.000262013,0.000262013
58,642.07,0.58196,0.5306,1.05921,0.51502,0.53724,0.54687,0.45983,0.72409,1.34143,1.19439,0.000256192,0.000256192,0.000256192
59,652.82,0.55339,0.48117,1.03958,0.49681,0.61093,0.57391,0.47469,0.76889,1.20367,1.24164,0.00025037,0.00025037,0.00025037
60,663.556,0.56447,0.50424,1.04648,0.48091,0.63747,0.57062,0.46692,0.75187,1.14629,1.20618,0.000244549,0.000244549,0.000244549
61,674.286,0.56558,0.50074,1.04266,0.64906,0.54859,0.59618,0.48915,0.75017,1.17336,1.22998,0.000238728,0.000238728,0.000238728
62,685.133,0.54565,0.47351,1.02481,0.49088,0.62267,0.58897,0.49155,0.74837,1.22803,1.22324,0.000232907,0.000232907,0.000232907
63,695.955,0.55317,0.48909,1.03872,0.61955,0.58467,0.60635,0.50221,0.70978,1.18372,1.16951,0.000227086,0.000227086,0.000227086
64,709.421,0.54662,0.47205,1.03714,0.57613,0.63306,0.62659,0.5297,0.69607,1.0439,1.1621,0.000221264,0.000221264,0.000221264
65,725.568,0.54468,0.50194,1.03899,0.5487,0.61581,0.62203,0.52774,0.6652,1.02176,1.13469,0.000215443,0.000215443,0.000215443
66,742.663,0.53751,0.47967,1.03854,0.69775,0.51988,0.61914,0.5227,0.66818,1.14473,1.13617,0.000209622,0.000209622,0.000209622
67,760.913,0.53755,0.44748,1.03265,0.52965,0.65299,0.60136,0.49634,0.68435,1.18126,1.1474,0.000203801,0.000203801,0.000203801
68,779.091,0.53558,0.45766,1.01723,0.54469,0.49262,0.54836,0.45728,0.69603,1.36673,1.1453,0.00019798,0.00019798,0.00019798
69,797.22,0.52463,0.45662,1.02122,0.47928,0.60527,0.5613,0.47044,0.73276,1.36368,1.18824,0.000192158,0.000192158,0.000192158
70,813.143,0.50782,0.44031,1.00875,0.46963,0.64866,0.57354,0.48026,0.71568,1.30497,1.1673,0.000186337,0.000186337,0.000186337
71,826.671,0.52178,0.46797,1.01794,0.58101,0.5476,0.60142,0.50498,0.70229,1.27365,1.15164,0.000180516,0.000180516,0.000180516
72,840.032,0.51145,0.45521,1.02437,0.49161,0.66043,0.61905,0.51784,0.70192,1.16996,1.17053,0.000174695,0.000174695,0.000174695
73,853.447,0.51071,0.44844,1.01605,0.5183,0.64868,0.61766,0.51032,0.70106,1.12695,1.15987,0.000168874,0.000168874,0.000168874
74,866.958,0.50627,0.43077,1.01417,0.53207,0.60627,0.60444,0.50399,0.69502,1.20498,1.16254,0.000163052,0.000163052,0.000163052
75,880.327,0.49257,0.41757,1.01196,0.53091,0.59511,0.59201,0.48995,0.69314,1.16115,1.15674,0.000157231,0.000157231,0.000157231
76,894.399,0.48186,0.40174,0.99957,0.59977,0.58317,0.58837,0.48766,0.69665,1.22128,1.16239,0.00015141,0.00015141,0.00015141
77,907.391,0.48836,0.39397,1.01519,0.61509,0.52487,0.61068,0.52049,0.67809,1.22737,1.14216,0.000145589,0.000145589,0.000145589
78,921.425,0.47855,0.41367,0.99527,0.51188,0.65419,0.59758,0.49849,0.68903,1.22435,1.13422,0.000139768,0.000139768,0.000139768
79,933.372,0.48778,0.40687,1.00939,0.50926,0.56686,0.56295,0.47396,0.6732,1.24106,1.12443,0.000133946,0.000133946,0.000133946
80,945.747,0.48251,0.39008,0.99643,0.54182,0.61703,0.60202,0.49956,0.69205,1.20319,1.15324,0.000128125,0.000128125,0.000128125
81,958.025,0.48055,0.39833,1.00813,0.51635,0.65236,0.59078,0.49694,0.6742,1.29845,1.13565,0.000122304,0.000122304,0.000122304
82,970.067,0.48556,0.39331,1.01531,0.57178,0.59945,0.60237,0.50895,0.6837,1.28671,1.14282,0.000116483,0.000116483,0.000116483
83,981.86,0.45821,0.37127,0.98111,0.54526,0.5982,0.60322,0.50596,0.67549,1.19765,1.14248,0.000110662,0.000110662,0.000110662
84,993.087,0.46718,0.38052,0.99912,0.52084,0.64596,0.59872,0.50366,0.66243,1.20339,1.12565,0.00010484,0.00010484,0.00010484
85,1004,0.46669,0.3829,0.99141,0.6132,0.56989,0.59234,0.5015,0.66065,1.20723,1.1254,9.90192e-05,9.90192e-05,9.90192e-05
86,1014.86,0.46219,0.37489,0.99194,0.58613,0.58345,0.59828,0.50052,0.68161,1.20287,1.14913,9.3198e-05,9.3198e-05,9.3198e-05
