epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5556,1.44425,3.10927,1.45722,0.7279,0.3209,0.43267,0.26988,1.27371,2.45707,1.31565,0.000235264,0.000235264,0.000235264
2,69.4221,1.34711,1.75748,1.32957,0.6204,0.61327,0.6359,0.39516,1.27635,1.48361,1.3246,0.000463894,0.000463894,0.000463894
3,99.5633,1.31525,1.57974,1.31961,0.54234,0.63408,0.61569,0.37807,1.30606,1.39231,1.34697,0.000683098,0.000683098,0.000683098
4,129.534,1.29701,1.4897,1.30296,0.64215,0.66047,0.67824,0.4221,1.279,1.28236,1.31729,0.000671588,0.000671588,0.000671588
5,159.631,1.26564,1.39418,1.28093,0.64098,0.66416,0.66704,0.41376,1.25813,1.28072,1.31465,0.000657451,0.000657451,0.000657451
6,189.453,1.24759,1.35598,1.26665,0.65913,0.67783,0.68399,0.43534,1.25543,1.30204,1.30307,0.000643314,0.000643314,0.000643314
7,222.889,1.23922,1.29716,1.27409,0.66013,0.71667,0.71564,0.46177,1.21591,1.13167,1.28986,0.000629177,0.000629177,0.000629177
8,256.474,1.2331,1.25553,1.27067,0.68918,0.71797,0.73188,0.46754,1.21669,1.11025,1.2907,0.00061504,0.00061504,0.00061504
9,289.682,1.20275,1.1736,1.2521,0.68557,0.69703,0.71957,0.46155,1.25055,1.16107,1.3044,0.000600902,0.000600902,0.000600902
10,320.027,1.21303,1.18131,1.25104,0.77347,0.66924,0.71563,0.46303,1.20324,1.11817,1.27631,0.000586765,0.000586765,0.000586765
11,350.077,1.19463,1.13195,1.23571,0.69281,0.70802,0.7243,0.46823,1.2013,1.11519,1.26079,0.000572628,0.000572628,0.000572628
12,379.85,1.17866,1.10145,1.23153,0.73247,0.71876,0.74343,0.48431,1.18628,1.04067,1.26461,0.000558491,0.000558491,0.000558491
13,409.633,1.16481,1.06778,1.22215,0.72863,0.72555,0.74666,0.49376,1.18209,1.01342,1.26165,0.000544354,0.000544354,0.000544354
14,439.644,1.16695,1.06413,1.23059,0.70525,0.7348,0.74451,0.48555,1.19181,1.03882,1.26427,0.000530216,0.000530216,0.000530216
15,470.681,1.14857,1.0354,1.21705,0.73995,0.70827,0.73948,0.48248,1.19729,1.03126,1.26328,0.000516079,0.000516079,0.000516079
16,501.021,1.14285,1.01837,1.21772,0.71007,0.73403,0.75131,0.49546,1.16816,1.01411,1.25006,0.000501942,0.000501942,0.000501942
17,531.551,1.14736,1.00387,1.21009,0.69865,0.74322,0.74517,0.48729,1.17499,1.02003,1.25394,0.000487805,0.000487805,0.000487805
18,561.814,1.12257,0.96551,1.19388,0.70539,0.7369,0.75805,0.49311,1.21807,1.00706,1.2717,0.000473668,0.000473668,0.000473668
19,591.662,1.12606,0.99221,1.20204,0.73514,0.73049,0.74759,0.49357,1.17699,0.9872,1.25102,0.00045953,0.00045953,0.00045953
20,621.319,1.10645,0.95581,1.19201,0.75453,0.72815,0.7677,0.5044,1.17426,0.97405,1.24151,0.000445393,0.000445393,0.000445393
21,651.141,1.09287,0.9238,1.17919,0.73126,0.7501,0.7642,0.50208,1.15789,0.97234,1.2445,0.000431256,0.000431256,0.000431256
22,680.887,1.1059,0.91783,1.18559,0.71895,0.74798,0.76166,0.50204,1.18072,0.96519,1.2465,0.000417119,0.000417119,0.000417119
23,710.757,1.07535,0.89978,1.17415,0.73036,0.73213,0.75605,0.50308,1.15171,0.95321,1.24804,0.000402982,0.000402982,0.000402982
