epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.551,3.87212,3.93055,3.66756,0.00388,0.5,0.00553,0.00111,3.07322,3.80426,3.54703,0,0,0
2,1.87372,3.57874,4.50373,3.3268,0.00379,0.5,0.00541,0.00108,3.03559,3.87907,3.5049,1.63399e-05,1.63399e-05,1.63399e-05
3,2.15372,3.30217,4.80219,3.5452,0.00379,0.5,0.00592,0.00059,3.00719,3.91804,3.46238,3.20197e-05,3.20197e-05,3.20197e-05
4,2.39628,3.13858,4.16986,3.14159,0.00376,0.5,0.00398,0.0004,2.82225,3.93166,3.39568,4.70394e-05,4.70394e-05,4.70394e-05
5,2.63755,2.36126,3.65406,2.52139,0.00382,0.5,0.00404,0.0004,2.72822,3.9478,3.37427,6.13989e-05,6.13989e-05,6.13989e-05
6,2.90655,3.72862,4.27787,3.91183,0,0,0,0,3.26646,4.00046,3.58221,7.50984e-05,7.50984e-05,7.50984e-05
7,3.2414,2.95522,4.0828,2.96407,0,0,0,0,3.29687,3.96674,3.60009,8.81376e-05,8.81376e-05,8.81376e-05
8,3.59467,2.02148,5.70355,2.394,0.0036,0.5,0.00404,0.0004,3.75142,3.82967,3.87067,0.000100517,0.000100517,0.000100517
9,3.92324,3.85227,4.11941,4.0334,0.00357,0.5,0.00422,0.00042,3.75578,3.78213,3.92106,0.000112236,0.000112236,0.000112236
10,4.30607,2.8658,4.80531,2.89928,0.00376,0.5,0.00398,0.0004,3.98484,3.75335,4.10105,0.000123295,0.000123295,0.000123295
11,4.64552,2.79088,3.67648,2.83121,0,0,0,0,3.99553,3.66149,4.24313,0.000133693,0.000133693,0.000133693
12,5.05243,3.49991,4.10107,3.4172,0,0,0,0,3.96331,3.76803,4.10203,0.000143432,0.000143432,0.000143432
13,5.39108,3.15182,3.82494,2.96717,0.0067,1,0.00959,0.00096,3.90076,3.81148,3.86484,0.00015251,0.00015251,0.00015251
14,5.72647,3.55258,5.22136,2.88621,0.00669,1,0.00974,0.00161,3.90465,3.63909,3.78763,0.000160929,0.000160929,0.000160929
15,6.10604,2.88939,3.56365,2.59073,0.00668,1,0.01216,0.0021,3.64741,3.62706,3.60407,0.000168687,0.000168687,0.000168687
16,6.45538,2.89998,4.2393,3.10842,0.0034,0.5,0.00888,0.00267,3.45578,3.71574,3.39267,0.000175785,0.000175785,0.000175785
17,6.8109,2.93886,3.62102,2.66145,0.00329,0.5,0.01185,0.0035,3.35856,3.62027,3.30975,0.000182223,0.000182223,0.000182223
18,7.14322,2.8051,3.64261,2.77078,0.00329,0.5,0.01185,0.0035,3.35856,3.62027,3.30975,0.000188001,0.000188001,0.000188001
19,7.50539,2.19215,3.29823,2.44166,0.0067,1,0.02412,0.00638,3.25131,3.37223,3.23252,0.000193119,0.000193119,0.000193119
20,7.83539,2.17959,3.80128,2.19567,0.0067,1,0.02412,0.00638,3.25131,3.37223,3.23252,0.000197576,0.000197576,0.000197576
21,8.27098,2.66386,4.09868,2.66381,0.0068,1,0.06753,0.01398,3.13099,3.55751,3.17434,0.000201374,0.000201374,0.000201374
22,8.66061,2.30409,3.58465,2.23006,0.0068,1,0.06753,0.01398,3.13099,3.55751,3.17434,0.000204511,0.000204511,0.000204511
