epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.286,1.36392,2.32867,1.4022,0.65146,0.64313,0.65635,0.42065,1.23566,1.20355,1.30293,0.000236312,0.000236312,0.000236312
2,293.798,1.24681,1.25258,1.29205,0.63211,0.67644,0.6795,0.42837,1.27847,1.15538,1.33943,0.000464921,0.000464921,0.000464921
3,367.833,1.24719,1.17705,1.29132,0.71743,0.63286,0.66808,0.42255,1.29902,1.18749,1.34402,0.000684104,0.000684104,0.000684104
4,444.342,1.2443,1.15633,1.29755,0.66986,0.67988,0.69694,0.44496,1.27773,1.11781,1.31733,0.000671588,0.000671588,0.000671588
5,558.122,1.22017,1.09852,1.28483,0.72364,0.66774,0.71788,0.45768,1.25978,1.05905,1.3263,0.000657451,0.000657451,0.000657451
6,683.382,1.1986,1.04277,1.26427,0.72295,0.70719,0.75777,0.48598,1.21855,1.00326,1.28606,0.000643314,0.000643314,0.000643314
7,774.271,1.18238,1.00704,1.25035,0.71012,0.71667,0.74715,0.48551,1.20502,0.98851,1.28109,0.000629177,0.000629177,0.000629177
8,850.479,1.16752,0.97303,1.24524,0.67136,0.72603,0.73949,0.47526,1.23928,0.97414,1.29591,0.00061504,0.00061504,0.00061504
9,972.333,1.14163,0.94765,1.23641,0.68311,0.76787,0.76521,0.50283,1.20436,0.92075,1.26605,0.000600902,0.000600902,0.000600902
10,1095.56,1.14394,0.94191,1.23273,0.73137,0.7379,0.77033,0.50588,1.17829,0.91291,1.25915,0.000586765,0.000586765,0.000586765
11,1345.44,1.1206,0.91117,1.22069,0.72595,0.75785,0.76998,0.50555,1.20046,0.89239,1.27375,0.000572628,0.000572628,0.000572628
12,1461.78,1.12607,0.89699,1.22933,0.65916,0.76999,0.76274,0.50714,1.19875,0.90955,1.27413,0.000558491,0.000558491,0.000558491
13,1557.45,1.09248,0.88348,1.21095,0.73437,0.74366,0.76644,0.5121,1.17307,0.88315,1.26528,0.000544354,0.000544354,0.000544354
14,1626.98,1.09184,0.86158,1.20651,0.75034,0.75037,0.77427,0.51068,1.19348,0.89761,1.2705,0.000530216,0.000530216,0.000530216
15,1696.51,1.07784,0.84852,1.19887,0.74322,0.75777,0.78104,0.51565,1.18182,0.85628,1.2701,0.000516079,0.000516079,0.000516079
16,1766.09,1.06903,0.82462,1.18721,0.72065,0.74522,0.77254,0.5074,1.19658,0.90835,1.27483,0.000501942,0.000501942,0.000501942
17,1838.73,1.06583,0.8228,1.18751,0.73107,0.7705,0.77688,0.52041,1.14948,0.86264,1.25296,0.000487805,0.000487805,0.000487805
18,1911.45,1.05681,0.80359,1.18463,0.72007,0.75982,0.76942,0.51152,1.16337,0.88233,1.26363,0.000473668,0.000473668,0.000473668
19,1981.08,1.05269,0.78647,1.1791,0.72776,0.76378,0.78431,0.51804,1.16896,0.86327,1.25614,0.00045953,0.00045953,0.00045953
20,2050.68,1.02771,0.76274,1.16664,0.7215,0.78184,0.78681,0.5178,1.18749,0.86148,1.27538,0.000445393,0.000445393,0.000445393
21,2134.71,1.031,0.76509,1.17078,0.71676,0.7713,0.79242,0.53749,1.14479,0.83115,1.2471,0.000431256,0.000431256,0.000431256
22,2245.48,1.01035,0.74094,1.15188,0.7157,0.78687,0.79178,0.52531,1.16974,0.83785,1.26218,0.000417119,0.000417119,0.000417119
23,2358.67,1.01025,0.74046,1.1545,0.73168,0.78189,0.78697,0.52852,1.16461,0.84756,1.2589,0.000402982,0.000402982,0.000402982
24,2446.48,0.99842,0.7365,1.15382,0.73528,0.76813,0.78586,0.52584,1.16064,0.85751,1.25755,0.000388844,0.000388844,0.000388844
25,2516.02,0.98151,0.70776,1.14254,0.71032,0.76989,0.7844,0.52634,1.17311,0.8635,1.26363,0.000374707,0.000374707,0.000374707
26,2601.57,0.9741,0.69876,1.13628,0.73764,0.77178,0.7819,0.52361,1.16123,0.83482,1.26474,0.00036057,0.00036057,0.00036057
27,2697.92,0.96872,0.68684,1.13431,0.74817,0.7559,0.78728,0.52664,1.18537,0.84606,1.27084,0.000346433,0.000346433,0.000346433
28,2767.95,0.95552,0.66908,1.12211,0.72538,0.77204,0.77675,0.51926,1.15999,0.85625,1.26193,0.000332296,0.000332296,0.000332296
29,2837.81,0.96067,0.66966,1.12694,0.73528,0.75445,0.76962,0.50912,1.17998,0.86986,1.27966,0.000318158,0.000318158,0.000318158
30,2907.25,0.94515,0.65581,1.11832,0.73461,0.76338,0.778,0.52604,1.15338,0.82568,1.25833,0.000304021,0.000304021,0.000304021
31,2976.8,0.93594,0.64066,1.11577,0.76177,0.75583,0.77459,0.52336,1.15263,0.83688,1.25417,0.000289884,0.000289884,0.000289884
32,3054.05,0.93239,0.63822,1.10376,0.7496,0.75457,0.77506,0.51463,1.18649,0.82764,1.27263,0.000275747,0.000275747,0.000275747
33,3172.35,0.925,0.61902,1.10858,0.69242,0.77753,0.76792,0.51021,1.18024,0.85868,1.26841,0.00026161,0.00026161,0.00026161
34,3265.42,0.90779,0.62134,1.10339,0.70245,0.77552,0.77392,0.52287,1.166,0.8383,1.27289,0.000247472,0.000247472,0.000247472
35,3344.62,0.90811,0.60471,1.09569,0.73231,0.74696,0.76185,0.51466,1.16809,0.84925,1.277,0.000233335,0.000233335,0.000233335
36,3414.43,0.89068,0.59733,1.08656,0.71962,0.76823,0.77797,0.52318,1.15844,0.82228,1.27019,0.000219198,0.000219198,0.000219198
37,3483.8,0.88753,0.5865,1.08173,0.76979,0.7307,0.76995,0.52111,1.17661,0.84442,1.27468,0.000205061,0.000205061,0.000205061
38,3663.12,0.87772,0.57014,1.07501,0.72738,0.75735,0.7696,0.51364,1.17493,0.84195,1.28135,0.000190924,0.000190924,0.000190924
39,3763.93,0.86749,0.56483,1.0732,0.71671,0.77907,0.77576,0.51671,1.18949,0.83001,1.29374,0.000176786,0.000176786,0.000176786
40,3853.33,0.85722,0.5604,1.0703,0.74519,0.75346,0.76827,0.51963,1.16429,0.84827,1.28077,0.000162649,0.000162649,0.000162649
41,4082.78,0.80187,0.46827,1.03645,0.71977,0.76095,0.75557,0.50892,1.18173,0.8486,1.30058,0.000148512,0.000148512,0.000148512
42,4266.8,0.7771,0.4455,1.02803,0.73321,0.76436,0.76555,0.5133,1.18614,0.88075,1.3006,0.000134375,0.000134375,0.000134375
