epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8877,1.44425,3.10927,1.45722,0.7279,0.3209,0.43267,0.26988,1.27371,2.45707,1.31565,0.000235264,0.000235264,0.000235264
2,71.3321,1.34711,1.75748,1.32957,0.6204,0.61327,0.6359,0.39516,1.27635,1.48361,1.3246,0.000463894,0.000463894,0.000463894
3,104.695,1.31525,1.57974,1.31961,0.54234,0.63408,0.61569,0.37807,1.30606,1.39231,1.34697,0.000683098,0.000683098,0.000683098
4,136.254,1.29701,1.4897,1.30296,0.64215,0.66047,0.67824,0.4221,1.279,1.28236,1.31729,0.000671588,0.000671588,0.000671588
5,167.07,1.26564,1.39418,1.28093,0.64098,0.66416,0.66704,0.41376,1.25813,1.28072,1.31465,0.000657451,0.000657451,0.000657451
6,200.311,1.24759,1.35598,1.26665,0.65913,0.67783,0.68399,0.43534,1.25543,1.30204,1.30307,0.000643314,0.000643314,0.000643314
7,232.985,1.23922,1.29716,1.27409,0.66013,0.71667,0.71564,0.46177,1.21591,1.13167,1.28986,0.000629177,0.000629177,0.000629177
8,266.604,1.2331,1.25553,1.27067,0.68918,0.71797,0.73188,0.46754,1.21669,1.11025,1.2907,0.00061504,0.00061504,0.00061504
9,298.63,1.20275,1.1736,1.2521,0.68557,0.69703,0.71957,0.46155,1.25055,1.16107,1.3044,0.000600902,0.000600902,0.000600902
10,329.269,1.21303,1.18131,1.25104,0.77347,0.66924,0.71563,0.46303,1.20324,1.11817,1.27631,0.000586765,0.000586765,0.000586765
11,359.936,1.19463,1.13195,1.23571,0.69281,0.70802,0.7243,0.46823,1.2013,1.11519,1.26079,0.000572628,0.000572628,0.000572628
12,390.716,1.17866,1.10145,1.23153,0.73247,0.71876,0.74343,0.48431,1.18628,1.04067,1.26461,0.000558491,0.000558491,0.000558491
13,422.864,1.16481,1.06778,1.22215,0.72863,0.72555,0.74666,0.49376,1.18209,1.01342,1.26165,0.000544354,0.000544354,0.000544354
14,456.782,1.16695,1.06413,1.23059,0.70525,0.7348,0.74451,0.48555,1.19181,1.03882,1.26427,0.000530216,0.000530216,0.000530216
15,494.865,1.14857,1.0354,1.21705,0.73995,0.70827,0.73948,0.48248,1.19729,1.03126,1.26328,0.000516079,0.000516079,0.000516079
16,531.768,1.14285,1.01837,1.21772,0.71007,0.73403,0.75131,0.49546,1.16816,1.01411,1.25006,0.000501942,0.000501942,0.000501942
17,566.152,1.14736,1.00387,1.21009,0.69865,0.74322,0.74517,0.48729,1.17499,1.02003,1.25394,0.000487805,0.000487805,0.000487805
18,599.054,1.12257,0.96551,1.19388,0.70539,0.7369,0.75805,0.49311,1.21807,1.00706,1.2717,0.000473668,0.000473668,0.000473668
19,635.189,1.12606,0.99221,1.20204,0.73514,0.73049,0.74759,0.49357,1.17699,0.9872,1.25102,0.00045953,0.00045953,0.00045953
20,669.879,1.10645,0.95581,1.19201,0.75453,0.72815,0.7677,0.5044,1.17426,0.97405,1.24151,0.000445393,0.000445393,0.000445393
21,705.748,1.09287,0.9238,1.17919,0.73126,0.7501,0.7642,0.50208,1.15789,0.97234,1.2445,0.000431256,0.000431256,0.000431256
22,743.143,1.1059,0.91783,1.18559,0.71895,0.74798,0.76166,0.50204,1.18072,0.96519,1.2465,0.000417119,0.000417119,0.000417119
23,780.468,1.07535,0.89978,1.17415,0.73036,0.73213,0.75605,0.50308,1.15171,0.95321,1.24804,0.000402982,0.000402982,0.000402982
24,816.125,1.04984,0.87325,1.16222,0.75962,0.72678,0.754,0.50156,1.16511,0.94515,1.24583,0.000388844,0.000388844,0.000388844
25,851.769,1.07197,0.85726,1.16927,0.72555,0.75094,0.76079,0.507,1.15726,0.94495,1.24291,0.000374707,0.000374707,0.000374707
26,887.625,1.06088,0.84131,1.15613,0.71844,0.74455,0.75309,0.50164,1.16424,0.96022,1.24155,0.00036057,0.00036057,0.00036057
27,924.093,1.03779,0.83089,1.14822,0.75556,0.74782,0.76988,0.50813,1.16825,0.94297,1.24807,0.000346433,0.000346433,0.000346433
28,962.283,1.04355,0.83112,1.15292,0.73575,0.74118,0.75637,0.50291,1.1731,0.93828,1.25193,0.000332296,0.000332296,0.000332296
29,1000.19,1.0472,0.81478,1.15068,0.73322,0.7458,0.7531,0.49866,1.16599,0.95627,1.24547,0.000318158,0.000318158,0.000318158
30,1037.81,1.03213,0.80847,1.14855,0.7061,0.73788,0.73461,0.47916,1.1913,0.94896,1.26006,0.000304021,0.000304021,0.000304021
31,1073.19,1.03841,0.81525,1.14865,0.72791,0.76024,0.76468,0.50408,1.17021,0.93104,1.25684,0.000289884,0.000289884,0.000289884
32,1109.92,1.01055,0.77656,1.13213,0.71444,0.74671,0.75465,0.50132,1.15376,0.94054,1.24345,0.000275747,0.000275747,0.000275747
33,1146.67,0.99777,0.76668,1.1269,0.74068,0.74563,0.76272,0.5057,1.16597,0.93012,1.24879,0.00026161,0.00026161,0.00026161
34,1183.13,1.0074,0.77077,1.13354,0.75564,0.74099,0.77065,0.51059,1.17186,0.92793,1.25569,0.000247472,0.000247472,0.000247472
35,1220.42,0.99252,0.7567,1.12285,0.75919,0.73883,0.75671,0.49969,1.16758,0.93273,1.25933,0.000233335,0.000233335,0.000233335
36,1257.65,0.99887,0.74658,1.12288,0.73117,0.75177,0.75557,0.50178,1.16896,0.93792,1.25844,0.000219198,0.000219198,0.000219198
37,1294.7,0.98674,0.74438,1.12257,0.75315,0.75395,0.765,0.50359,1.1777,0.92392,1.26548,0.000205061,0.000205061,0.000205061
38,1333.4,0.97328,0.73438,1.11498,0.74296,0.74776,0.76544,0.50846,1.18198,0.90629,1.25961,0.000190924,0.000190924,0.000190924
39,1372.04,0.96076,0.72165,1.11271,0.74685,0.75006,0.77093,0.51283,1.16603,0.89292,1.25601,0.000176786,0.000176786,0.000176786
40,1410.47,0.95385,0.71229,1.11293,0.74245,0.75233,0.76786,0.50857,1.18097,0.90356,1.26169,0.000162649,0.000162649,0.000162649
41,1475.69,0.90473,0.63319,1.08584,0.69936,0.76428,0.75699,0.49711,1.18755,0.93778,1.26762,0.000148512,0.000148512,0.000148512
42,1510.98,0.89425,0.60964,1.07884,0.72372,0.75766,0.75912,0.50474,1.18103,0.91991,1.26377,0.000134375,0.000134375,0.000134375
43,1547.12,0.88567,0.59822,1.06913,0.71638,0.75965,0.75297,0.49821,1.17558,0.92558,1.26346,0.000120238,0.000120238,0.000120238
44,1584.94,0.87554,0.58972,1.06899,0.74261,0.73321,0.75329,0.50373,1.17005,0.917,1.25993,0.0001061,0.0001061,0.0001061
45,1623.42,0.86189,0.57505,1.06328,0.72532,0.75751,0.75623,0.50437,1.17506,0.9067,1.26432,9.19632e-05,9.19632e-05,9.19632e-05
46,1660.57,0.85551,0.56079,1.05929,0.73149,0.75691,0.75489,0.49908,1.17381,0.92367,1.27377,7.7826e-05,7.7826e-05,7.7826e-05
47,1694.23,0.84434,0.55058,1.05633,0.72302,0.76325,0.76075,0.50406,1.18064,0.91423,1.27474,6.36888e-05,6.36888e-05,6.36888e-05
48,1727.74,0.83846,0.54927,1.04553,0.7257,0.76335,0.76002,0.50252,1.18442,0.91128,1.27345,4.95516e-05,4.95516e-05,4.95516e-05
49,1761.08,0.84111,0.54264,1.04793,0.72062,0.76222,0.75714,0.50228,1.1811,0.91468,1.27375,3.54144e-05,3.54144e-05,3.54144e-05
50,1794.1,0.83463,0.53717,1.04836,0.72246,0.76148,0.75912,0.50341,1.18367,0.91304,1.27619,2.12772e-05,2.12772e-05,2.12772e-05
