epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4154.94,0.86233,0.87497,1.20705,0.68875,0.56854,0.60899,0.41589,1.00233,0.77129,1.35772,0.000228729,0.000228729,0.000228729
43,4253.61,0.85681,0.87387,1.20061,0.69192,0.56496,0.60243,0.40624,1.01295,0.77354,1.37313,0.000224917,0.000224917,0.000224917
44,4352.35,0.85453,0.85558,1.20012,0.62236,0.59323,0.59928,0.41156,1.00536,0.77402,1.35975,0.000221106,0.000221106,0.000221106
45,4451.85,0.84123,0.83613,1.18661,0.74505,0.55185,0.60303,0.40238,1.00769,0.76305,1.3676,0.000217294,0.000217294,0.000217294
46,4550.9,0.841,0.83709,1.18903,0.58187,0.60233,0.59862,0.41432,1.00639,0.75196,1.3552,0.000213482,0.000213482,0.000213482
47,4649.59,0.84146,0.82783,1.18851,0.65098,0.57919,0.59002,0.39728,1.00897,0.77147,1.36631,0.000209671,0.000209671,0.000209671
48,4748.95,0.84025,0.83506,1.19095,0.67381,0.57524,0.60651,0.40695,1.02111,0.78636,1.37836,0.00020586,0.00020586,0.00020586
49,4848.18,0.83958,0.82104,1.18895,0.70922,0.56574,0.60845,0.41188,0.99724,0.75795,1.35673,0.000202048,0.000202048,0.000202048
50,4946.84,0.8356,0.81053,1.18463,0.71366,0.56615,0.61677,0.42075,1.00085,0.75464,1.36391,0.000198236,0.000198236,0.000198236
51,5045.85,0.83364,0.8028,1.17831,0.69167,0.56465,0.60514,0.40893,0.99554,0.74835,1.36292,0.000194425,0.000194425,0.000194425
52,5144.3,0.8275,0.79445,1.18086,0.6913,0.54752,0.6054,0.41282,1.00081,0.74263,1.36496,0.000190613,0.000190613,0.000190613
53,5242.74,0.82174,0.79893,1.17487,0.57991,0.61685,0.59786,0.41081,0.99105,0.74865,1.35562,0.000186802,0.000186802,0.000186802
54,5341.85,0.82408,0.79413,1.17584,0.65623,0.57104,0.60603,0.41594,0.98973,0.7538,1.3574,0.00018299,0.00018299,0.00018299
55,5440.77,0.81661,0.78449,1.17368,0.72518,0.5924,0.63743,0.43504,0.9913,0.72091,1.35924,0.000179179,0.000179179,0.000179179
56,5542.88,0.81462,0.78164,1.17191,0.61308,0.58855,0.611,0.4175,0.99026,0.74663,1.35102,0.000175367,0.000175367,0.000175367
57,5641.57,0.8128,0.77611,1.17004,0.67226,0.59143,0.60514,0.41406,0.99644,0.75191,1.35957,0.000171556,0.000171556,0.000171556
58,5739.6,0.81256,0.77051,1.16843,0.59864,0.61885,0.62224,0.42582,0.9864,0.73771,1.35374,0.000167745,0.000167745,0.000167745
