epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.19604,4.10297,4.98104,3.86155,0.00385,0.5,0.00541,0.00054,3.01,3.90072,3.49346,0,0,0
2,1.50286,3.76689,4.60771,3.75829,0.00294,0.5,0.00345,0.00035,2.91651,3.92691,3.439,1.63399e-05,1.63399e-05,1.63399e-05
3,1.79158,2.68876,4.35329,2.63361,0,0,0,0,2.82095,3.88889,3.44224,3.20197e-05,3.20197e-05,3.20197e-05
4,2.06252,3.63801,4.47489,3.48774,0.00309,0.5,0.0035,0.00035,2.64867,3.94019,3.37023,4.70394e-05,4.70394e-05,4.70394e-05
5,2.3564,2.89473,4.02288,2.81591,0,0,0,0,2.57525,3.98651,3.3917,6.13989e-05,6.13989e-05,6.13989e-05
6,2.63511,3.4893,4.65924,3.5602,0.00307,0.5,0.0035,0.00035,2.50876,4.02936,3.39363,7.50984e-05,7.50984e-05,7.50984e-05
7,3.07133,2.59338,4.35209,2.50423,0.00311,0.5,0.00345,0.00069,2.39544,3.9573,3.29072,8.81376e-05,8.81376e-05,8.81376e-05
8,3.42582,2.96598,5.87633,2.80105,0.00311,0.5,0.00355,0.00071,2.37315,3.97508,3.28975,0.000100517,0.000100517,0.000100517
9,3.81823,2.96172,4.25491,3.15036,0.00307,0.5,0.00327,0.00098,2.09493,3.78047,3.10177,0.000112236,0.000112236,0.000112236
10,4.17606,3.03553,3.72722,2.85583,0.00296,0.5,0.00313,0.00125,1.91467,3.72769,3.03277,0.000123295,0.000123295,0.000123295
11,4.5384,3.05578,4.41413,2.95189,0.00303,0.5,0.00319,0.00128,1.72135,3.78683,2.97787,0.000133693,0.000133693,0.000133693
12,4.90346,2.67181,4.65347,2.91651,0,0,0,0,1.54458,3.88322,2.8815,0.000143432,0.000143432,0.000143432
13,5.38344,2.94638,4.50734,3.40485,0.00388,0.5,0.00433,0.00087,1.80575,3.75206,2.86614,0.00015251,0.00015251,0.00015251
14,5.73004,2.66267,3.94035,2.68602,0,0,0,0,1.88643,3.73673,2.76544,0.000160929,0.000160929,0.000160929
15,6.09054,2.40792,4.65084,2.28732,0.00672,1,0.08213,0.00821,1.64303,3.6607,2.76724,0.000168687,0.000168687,0.000168687
16,6.44929,2.0927,3.91929,2.39111,0,0,0,0,1.61441,3.67676,2.56184,0.000175785,0.000175785,0.000175785
17,6.84261,2.59212,3.76451,2.42959,0,0,0,0,1.36375,3.69397,2.43289,0.000182223,0.000182223,0.000182223
18,7.18178,2.16092,4.38356,2.51843,0,0,0,0,1.36375,3.69397,2.43289,0.000188001,0.000188001,0.000188001
19,7.53608,2.81663,4.24325,2.6166,0.00309,0.5,0.07107,0.00711,1.53667,3.71784,2.43901,0.000193119,0.000193119,0.000193119
20,7.88896,1.97637,3.77342,2.01772,0.00309,0.5,0.07107,0.00711,1.53667,3.71784,2.43901,0.000197576,0.000197576,0.000197576
21,8.2476,2.06478,3.41337,2.03765,0.00667,1,0.26088,0.10071,1.84219,3.68533,2.68524,0.000201374,0.000201374,0.000201374
22,8.66588,1.72238,3.62794,1.78517,0.00667,1,0.26088,0.10071,1.84219,3.68533,2.68524,0.000204511,0.000204511,0.000204511
23,9.03379,2.23248,3.87881,2.11557,0,0,0,0,2.27626,3.71301,3.0048,0.000206988,0.000206988,0.000206988
24,9.37763,2.29694,3.50401,2.09616,0,0,0,0,2.27626,3.71301,3.0048,0.000208805,0.000208805,0.000208805
25,9.73525,1.37603,3.74445,1.45246,0.00327,0.5,0.0035,0.00035,2.67439,3.6295,3.24926,0.000209962,0.000209962,0.000209962
26,10.0678,1.95971,3.48602,2.20315,0.00327,0.5,0.0035,0.00035,2.67439,3.6295,3.24926,0.000210459,0.000210459,0.000210459
27,10.4154,2.44733,3.92047,2.42152,0,0,0,0,2.91574,3.55339,3.40432,0.000210295,0.000210295,0.000210295
28,10.7645,1.83556,3.13357,1.75257,0,0,0,0,2.91574,3.55339,3.40432,0.000209472,0.000209472,0.000209472
29,11.1186,2.4582,3.85547,2.75213,0.00667,1,0.04802,0.0048,3.04394,3.47571,3.43715,0.000207988,0.000207988,0.000207988
30,11.4548,2.17489,2.82062,1.97316,0.00667,1,0.04802,0.0048,3.04394,3.47571,3.43715,0.000205844,0.000205844,0.000205844
31,11.8944,1.81503,3.31305,1.93545,0.00355,0.5,0.04975,0.00498,2.99839,3.45134,3.37838,0.000203041,0.000203041,0.000203041
32,12.2124,2.4781,3.2686,2.28534,0.00355,0.5,0.04975,0.00498,2.99839,3.45134,3.37838,0.000199577,0.000199577,0.000199577
33,12.5991,1.92391,3.21515,1.96369,0.00338,0.5,0.03827,0.00765,2.93292,3.39417,3.23623,0.000195452,0.000195452,0.000195452
34,12.9248,1.90672,3.1511,2.04905,0.00338,0.5,0.03827,0.00765,2.93292,3.39417,3.23623,0.000190668,0.000190668,0.000190668
35,13.2637,1.79776,2.80812,1.57436,0.0035,0.5,0.05528,0.02211,2.96887,3.39102,3.25519,0.000185224,0.000185224,0.000185224
36,13.604,1.75861,3.05167,1.96521,0.0035,0.5,0.05528,0.02211,2.96887,3.39102,3.25519,0.000179119,0.000179119,0.000179119
37,13.963,2.0436,3.32312,2.32,0.00668,1,0.05504,0.01118,2.74289,3.43962,3.12798,0.000172354,0.000172354,0.000172354
38,14.2984,2.28485,4.56702,2.54225,0.00668,1,0.05504,0.01118,2.74289,3.43962,3.12798,0.00016493,0.00016493,0.00016493
39,14.6502,2.12265,3.43668,2.30921,0.00672,1,0.05338,0.01177,2.3942,3.5566,2.95939,0.000156845,0.000156845,0.000156845
40,15.0634,2.2233,4.05499,2.13741,0.00672,1,0.05338,0.01177,2.3942,3.5566,2.95939,0.0001481,0.0001481,0.0001481
41,20.0342,2.05464,3.46868,2.22198,0.00672,1,0.10491,0.01211,2.53112,3.47718,3.11003,0.000138694,0.000138694,0.000138694
42,20.3713,1.99082,3.46614,2.15039,0.00672,1,0.10491,0.01211,2.53112,3.47718,3.11003,0.000128629,0.000128629,0.000128629
43,20.7221,1.83809,3.50386,2.17512,0.00676,1,0.11009,0.01207,2.65762,3.40438,3.13095,0.000117904,0.000117904,0.000117904
44,21.0693,1.60585,3.08585,1.85466,0.00676,1,0.11009,0.01207,2.65762,3.40438,3.13095,0.000106518,0.000106518,0.000106518
45,21.4346,1.63988,3.50125,2.0146,0.00301,0.5,0.01213,0.00408,2.47071,3.60026,3.06307,9.44722e-05,9.44722e-05,9.44722e-05
46,21.8116,2.19983,3.66923,2.17628,0.00301,0.5,0.01213,0.00408,2.47071,3.60026,3.06307,8.17663e-05,8.17663e-05,8.17663e-05
47,22.1949,1.8062,3.2901,2.04995,0.00676,1,0.05444,0.00877,2.07061,3.56837,2.78409,6.84003e-05,6.84003e-05,6.84003e-05
48,22.5334,1.74473,3.11352,2.07228,0.00676,1,0.05444,0.00877,2.07061,3.56837,2.78409,5.43742e-05,5.43742e-05,5.43742e-05
49,22.9556,2.03973,3.46295,2.01468,0.00693,1,0.07861,0.02458,2.01975,3.57669,2.56533,3.96879e-05,3.96879e-05,3.96879e-05
50,23.2903,2.09819,3.89988,2.37075,0.00693,1,0.07861,0.02458,2.01975,3.57669,2.56533,2.43415e-05,2.43415e-05,2.43415e-05
