epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.288,1.15937,3.63211,1.52198,0.53104,0.34214,0.27594,0.19776,0.99427,2.06311,1.43429,0.000123092,0.000123092,0.000123092
2,329.517,1.01048,2.37666,1.36613,0.40504,0.49961,0.43243,0.32633,0.92065,1.62132,1.36904,0.000241547,0.000241547,0.000241547
3,475.942,0.97145,1.96587,1.32517,0.60837,0.53474,0.53034,0.40839,0.86376,1.32683,1.29689,0.000355117,0.000355117,0.000355117
4,622.595,0.94344,1.71814,1.29845,0.43814,0.58956,0.53761,0.41444,0.88317,1.30256,1.31314,0.000348022,0.000348022,0.000348022
5,768.802,0.90357,1.54821,1.26204,0.53361,0.59379,0.60649,0.47798,0.81072,1.17531,1.23823,0.000340696,0.000340696,0.000340696
6,915.269,0.88098,1.42484,1.24722,0.53455,0.61378,0.58204,0.4528,0.85113,1.27685,1.29158,0.00033337,0.00033337,0.00033337
7,1061.95,0.86083,1.34496,1.23283,0.62216,0.67041,0.67797,0.53512,0.79844,0.96444,1.22391,0.000326044,0.000326044,0.000326044
8,1208.55,0.83925,1.27081,1.21974,0.69846,0.57642,0.67416,0.53787,0.77119,0.92756,1.20795,0.000318718,0.000318718,0.000318718
9,1355.31,0.82601,1.21324,1.20612,0.59902,0.70517,0.70037,0.56202,0.75461,0.884,1.18411,0.000311392,0.000311392,0.000311392
10,1501.14,0.81218,1.1568,1.19726,0.64718,0.65133,0.71371,0.57432,0.75834,0.88317,1.17365,0.000304066,0.000304066,0.000304066
11,1647.73,0.8061,1.10907,1.19259,0.57708,0.70723,0.68869,0.5441,0.78365,0.95504,1.20474,0.00029674,0.00029674,0.00029674
12,1794.45,0.7884,1.09011,1.18016,0.68793,0.62482,0.70547,0.56763,0.76352,0.8665,1.18081,0.000289414,0.000289414,0.000289414
13,1940.92,0.77814,1.03808,1.17217,0.63906,0.70175,0.725,0.5837,0.74809,0.84333,1.17062,0.000282088,0.000282088,0.000282088
14,2087.12,0.77285,1.02101,1.16851,0.70276,0.62845,0.70637,0.57093,0.77018,0.89629,1.17844,0.000274762,0.000274762,0.000274762
15,2233.68,0.7627,0.98442,1.16393,0.61335,0.7101,0.7307,0.58485,0.76139,0.81336,1.18265,0.000267436,0.000267436,0.000267436
16,2380.94,0.75599,0.96502,1.15859,0.69575,0.68772,0.7337,0.59474,0.7293,0.79249,1.15865,0.00026011,0.00026011,0.00026011
17,2527.55,0.7462,0.942,1.15384,0.7104,0.70174,0.75206,0.61286,0.74452,0.73623,1.16602,0.000252784,0.000252784,0.000252784
18,2674.16,0.7364,0.91872,1.146,0.63996,0.74305,0.75276,0.6043,0.76018,0.7775,1.17254,0.000245458,0.000245458,0.000245458
19,2821.07,0.73429,0.89621,1.14219,0.64141,0.70534,0.73217,0.59266,0.75548,0.82867,1.18315,0.000238132,0.000238132,0.000238132
20,2967.01,0.72808,0.88081,1.14145,0.70245,0.6827,0.74361,0.60363,0.72528,0.76364,1.15224,0.000230806,0.000230806,0.000230806
